Title,Address,Link,Job Description
Data Scientist,"Brussel, Brussels Hoofdstedelijk Gewest, België",https://be.linkedin.com/jobs/view/data-scientist-at-agilytic-3863809726?position=1&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=j2AzEWxFk%2BdslekQvX0%2FTw%3D%3D&trk=public_jobs_jserp-result_search-card,"Are you looking to make a measurable impact for your clients with data science?  Ready to expand your skillset in different tools, methodologies, and across various industries?  Do you have an innate passion for business and entrepreneurial sense while having an interest in the technical aspects of the job?  🎯 What is your mission?  Help innovative companies thrive in turning their objectives into results, through smarter use of data.  ✅ More concretely, what will you do day-to-day?  As a Data Scientist, you will play a vital role in the end-to-end delivery of our projects.  Therefore, you will work closely with stakeholders to:  Prioritize business requirements Manage data collection Analyze results Provide reports Model data Interpret trends and patterns Communicate the results and next steps effectively with clients  Our assignments include:  Data audit Data preparation Descriptive analysis Modeling Presenting the results  Senior Data Scientists supervise and coach junior Data Scientists in delivering their projects and on internal tasks. This guidance is to help junior Data Scientists acquire the business and technical skills to manage their projects quickly.  Requirements  👤 Do you recognize yourself?  🎓 Your Background  You have a master's in Management/Economics, Engineering, Mathematics, Physics, Biology, or similar - There is no standard study background for data You are fluent in English and either in Dutch OR French   💼 Your Professional Skills  You have good knowledge and demonstrable experience with ETL and statistical packages (SAS, SPSS, R, Python, Spark). Knowledge of programming languages such as Javascript, Spark, S, C is a plus. You have technical expertise in data preparation, data models, data mining, and segmentation   🤓 Your Personal Skills  You have strong analytical skills to collect, organize, analyze, and interpret large amounts of data to underline the relevant information regarding a specific business objective You have a problem-solving mindset; you take a pragmatic approach regarding data science and seek out the simple solution   ⚠️ Must Have  You are eligible to work in Belgium and the European Union (please be aware that we do not offer relocation support)   🤗 You will be a great fit if -  You want to be among the first employees to help us shape our organization and grow in the future. You have a natural care about work quality, showing a professional attitude and passion for service. You are proactive, autonomous, and like to take initiative You can confidently interact and communicate at all levels, from the front-line staff to the executive team, with data experts and non-experts alike. You are curious about new techniques and tools and strive always to keep learning   🙅‍♀️ Some signs this may not be the right fit -  If you don't like to interact with customers or do presentations from time to time. All our Data Scientists are client-facing. If you are not comfortable working at the client's premises (on average 2-3 days a week) and from our offices in Brussels (on average 1-2 days a week) If you don't have an entrepreneurial mindset and aren't ready to go the extra mile to deliver quality work or contribute to an organization's growth   Benefits  💜 Working at Agilytic  We aim at creating a work environment that allows you to do exceptional work, grow your skillset and, most importantly, be happy while doing it.  You may work on assignments anywhere in Belgium and neighboring countries like Luxembourg, France, the Netherlands, and the UK. You can expect to interact with IT/data specialists and business executives (marketing, process, customer care).  We believe that data is a means to an end and not an end in itself. We don't use cutting-edge techniques when not suited to the problem we need to solve. We adapt to what the client truly needs, even if it might look less appealing from a technical perspective. For instance, we won't train a neural network predicting marketing performance based on 1000 variables if a simple dashboard showing marketing efficiency across a few dimensions answers the customer's question. All our missions are about data, and so far, approximately 50% of them haven't required any machine learning.  Salary And Benefits  💰 Competitive remuneration package: We offer a competitive remuneration package, a cafeteria plan in which you can allocate your variable remuneration to your preferred advantages (extra days off, electronics... and cash of course) 🏋️ Training roadmap: We will draft together a training roadmap, taking into consideration our internal competencies as well as your interests 🤝 Supportive structure and transparency: What we don't have in scale (yet), we'll make it up with flexibility, support, and transparency. We will be there for you every step of the way, with individual coaching and career roadmapping 🧰 Modern tools: Tools are a means to an end. We want them to help you do your best work, not become a bottleneck. That's why you can expect up-to-date hardware and software tools so that you (hopefully) never have to swear at your computer 🥂 Oh, and a little bit of fun too: We take our work very seriously, but we're not afraid to laugh at ourselves. Life is too short Show less Senioriteitsniveau Medewerker Soort baan Fulltime Functie Consultancy Bedrijfstakken Non-profitorganisaties en Basis- en voortgezet onderwijs Voordrachten verhogen uw kansen op een sollicitatiegesprek met Agilytic 2x Bekijken wie u kent"
Entry Level (Work-From-Home)Data Entry Clerks,België,https://be.linkedin.com/jobs/view/entry-level-work-from-home-data-entry-clerks-at-campfire-consulting-3952762274?position=2&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=qRXV95X07XaiGkP6ETvl3w%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description  At our organization, we prioritize delivering top-tier products and services to our valued clients. With a strong emphasis on accuracy and efficiency, we take great pride in our unwavering commitment to providing the highest quality data to support our day-to-day operations. As we embark on an expansion journey, we are seeking detail-oriented and dependable Data Entry Clerks to enhance our team.  Job Description  As a Remote Data Entry Clerk, you will be responsible for accurately and efficiently inputting a variety of data into our systems and databases. Your primary duties will include:  Entering data from various sources into our databases with high accuracy and attention to detail. Ensuring data integrity and consistency by performing regular quality checks. Organizing and maintaining electronic files and documents. Communicating effectively with team members to ensure timely completion of tasks. Following company guidelines and procedures for data entry and management. Assisting with other administrative tasks as needed.  Requirements  Proven experience as a data entry clerk or similar role. Excellent typing skills and proficiency in data entry software and tools. Strong attention to detail and accuracy. Ability to work independently and meet deadlines. Good communication skills, both written and verbal. High school diploma or equivalent; additional certifications in data entry or related fields are a plus. Comfortable working remotely with reliable internet access and a quiet workspace.  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Ander Bedrijfstakken Technologie, informatie en internet Voordrachten verhogen uw kansen op een sollicitatiegesprek met Campfire Consulting 2x Bekijken wie u kent"
Data Entry-Full Time-Remote,België,https://be.linkedin.com/jobs/view/data-entry-full-time-remote-at-netmercs-group-3949144474?position=3&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=GR9ZPsqORQe6dhm4AvHdOg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description  Our company distinguishes itself by delivering comprehensive data entry services customized to suit the distinctive needs of each client. Harnessing cutting-edge technology, our team of adept professionals ensures precise and prompt data processing.  Responsibilities  Inputting data into computer systems accurately and efficiently Verifying data accuracy and completeness Updating and maintaining database information Communicating with other departments to gather information Keeping sensitive information confidential Adhering to data privacy and security protocols Supporting other administrative tasks as needed.  Requirements  Proficiency in Microsoft Office and data entry software Strong keyboarding skills Excellent attention to detail and accuracy Ability to work independently and as part of a team Good organizational and time management skills Ability to maintain confidentiality Good verbal and written communication skills Ability to work under pressure and meet deadlines  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment.  This position is entirely remote, offering you the freedom to work from your home or any location that suits you best. We provide a flexible work schedule and a dedicated team to ensure you thrive in this role. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Administratief Bedrijfstakken IT-services en consultancy Voordrachten verhogen uw kansen op een sollicitatiegesprek met netMercs Group 2x Bekijken wie u kent"
Data Entry Clerk Position (Work From Home),België,https://be.linkedin.com/jobs/view/data-entry-clerk-position-work-from-home-at-campfire-consulting-3952759757?position=4&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=%2FZSA0092p3SPifAkux0v5Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description  Our organization stands at the forefront of data management and analysis. As a Remote Data Entry Clerk, you will wield significant influence in maintaining the accuracy and efficiency of our data systems. Our company's core values are rooted in integrity, precision, and an unwavering commitment to delivering results of the highest quality. Join us as we champion the use of data for informed decision-making and strategic insights.  Job Description  As a Remote Data Entry Clerk, you will be responsible for accurately and efficiently inputting a variety of data into our systems and databases. Your primary duties will include:  Entering data from various sources into our databases with high accuracy and attention to detail. Ensuring data integrity and consistency by performing regular quality checks. Organizing and maintaining electronic files and documents. Communicating effectively with team members to ensure timely completion of tasks. Following company guidelines and procedures for data entry and management. Assisting with other administrative tasks as needed.  Requirements  Proven experience as a data entry clerk or similar role. Excellent typing skills and proficiency in data entry software and tools. Strong attention to detail and accuracy. Ability to work independently and meet deadlines. Good communication skills, both written and verbal. High school diploma or equivalent; additional certifications in data entry or related fields are a plus. Comfortable working remotely with reliable internet access and a quiet workspace.  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Administratief Bedrijfstakken Technologie, informatie en internet Voordrachten verhogen uw kansen op een sollicitatiegesprek met Campfire Consulting 2x Bekijken wie u kent"
Supply Chain Associate,"Brussel, Brussels Hoofdstedelijk Gewest, België",https://be.linkedin.com/jobs/view/supply-chain-associate-at-cowboy-3941649669?position=5&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=iSjVZxGd0ZA5nWiio0oNEw%3D%3D&trk=public_jobs_jserp-result_search-card,"Who We Are  In 2018, Cowboy introduced the most beautiful, simple, and connected electric bike for urban riders. With a vision to be the ideal mode of transport, Cowboy has transformed the electric bike to be a fully connected ecosystem that our riders experience every day. Over time, the cultural impact we imagine is one of creating the living city - urban environments that are more mindful of us and the way we want to move and more sustainable for all its inhabitants.  We are a disrupter in the market with ambitious goals, winning Red-Dot awards in 2018, 2019, and 2021. We enhance the riding experience by unifying intelligent technology, delightful design, and meticulous customer service. Our mission is to become the most desirable micro-mobility company in Europe & US by 2025.  In May 2021, Cowboy launched its fourth model, introducing a new frame with a wireless phone charging feature. Our bikes, on-demand test rides, and repair services are available in more than 10 European countries and our bikes are available across the U.S.A. In January 2022, Cowboy raised $80 Million of funding from international investors led by HCVC and Siam Capital with continued support from previous investors Index and Tiger Global in the Series C round.  A Cowboy is someone with the courage, despite their fears, to follow their own intuition and to move their own way. Courage is the human emotion shared among our riders and with us as a brand.  The Role  To support our exciting growth and help take us to a higher performance level in order management, we're looking for a dynamic, customer centric and passionate person with grit, to join our supply chain team. The Supply Chain Associate is responsible for executing and improving purchase to pay processes and actioning on the sales and operations planning decisions for mass production and service parts for Cowboy bikes.  Reporting to our Senior Supply Chain Engineer you will contribute directly to Company performance by bringing inventory when needed, at the desired cost in order to achieve best customer service.  You will work closely with the Supply Chain team of four people, suppliers in Europe and Asia, our bike assembler, procurement and logistics partners.  The role is based in Brussels with 2X days on-site at our offices.  What You'll Be Doing  Executing Purchase to Pay process: placing & confirming orders with Supplier as per supply plan, ensuring parts readiness, parts receptions, following up on supplier payments, expediting where necessary. Acting as Supplier window person for daily operations with regards to purchased products Arranging Parts logistics: organizing and managing deliveries from Asia and Europe with logistics partners. Managing Payments: Closely collaborating with the Finance team on timely payment execution and resolving mismatches. Keeping purchase orders up to date in ERP according to the latest Production Plan and reconciling them on a monthly basis to ensure proper functioning of MRP and financial reporting. Executing transfers in Odoo ERP system to maintain accurate inventory levels.   Requirements  Who we are looking for  Logistics/ Supply Chain/ Engineering higher education 3 years hands on experience in buyer role in manufacturing operations Experience in purchasing from Asian suppliers ERP proficiency in understanding stock movements (Odoo experience is a plus) English and other languages are a plus (French, Chinese) Detail oriented and accurate when handling data Goal oriented Cost conscious Enjoys negotiations and conflicting interest situations Enjoys a fast paced environment.   Benefits  What we offer you  Highly competitive package with a clear and open salary structure Equity / Share warrants Hospitalisation insurance 30 days vacation days (exclusive of local bank holidays) Your own Cowboy bike to be used along your contract (and a nice discount for your family) Daily meal allowance If you are based in Belgium then an annual budget to cover some of your costs on the days you chose to work from home Opportunity to become one of the key employees of a fast-growing start-up with open, respectful and fun company culture Having a real impact on the company's growth and evolution Working with people who love what they do every day  Just like our rider community in cities across Europe, diversity is a strength. No matter where you come from, or the path you're on, Cowboy is inclusive and so is our workplace. Your unique skills, passion, and perspective will help us continue to transform mobility and urban life for the better. Show less Senioriteitsniveau Medewerker Soort baan Fulltime Functie Productie Bedrijfstakken Non-profitorganisaties en Basis- en voortgezet onderwijs Voordrachten verhogen uw kansen op een sollicitatiegesprek met Cowboy 2x Bekijken wie u kent"
Needed - Data Entry Clerk (Work From Home),België,https://be.linkedin.com/jobs/view/needed-data-entry-clerk-work-from-home-at-campfire-consulting-3952758753?position=6&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=ND7cNmUZuzzloF2ggouO7w%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description  Are you an individual who excels in meticulousness and has a fervor for data accuracy? Our team is currently recruiting a Remote Data Entry Specialist to strengthen our administrative unit. Primary responsibilities include inputting and validating various data sets within our system while upholding data integrity and confidentiality. Proficiency in Microsoft Office applications and exceptional organizational prowess are essential. If you thrive in a remote work environment and possess outstanding data entry abilities, we eagerly anticipate your contribution to our team!  Job Description  As a Remote Data Entry Clerk, you will be responsible for accurately and efficiently inputting a variety of data into our systems and databases. Your primary duties will include:  Entering data from various sources into our databases with high accuracy and attention to detail. Ensuring data integrity and consistency by performing regular quality checks. Organizing and maintaining electronic files and documents. Communicating effectively with team members to ensure timely completion of tasks. Following company guidelines and procedures for data entry and management. Assisting with other administrative tasks as needed.  Requirements  Proven experience as a data entry clerk or similar role. Excellent typing skills and proficiency in data entry software and tools. Strong attention to detail and accuracy. Ability to work independently and meet deadlines. Good communication skills, both written and verbal. High school diploma or equivalent; additional certifications in data entry or related fields are a plus. Comfortable working remotely with reliable internet access and a quiet workspace.  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Administratief Bedrijfstakken Technologie, informatie en internet Voordrachten verhogen uw kansen op een sollicitatiegesprek met Campfire Consulting 2x Bekijken wie u kent"
Entry-Level Remote Data Entry Specialist,België,https://be.linkedin.com/jobs/view/entry-level-remote-data-entry-specialist-at-bantu-web-design-solutions-3951798295?position=7&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=y7hDOeYjKNB34Mj3fq8eyQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description  We are in search of a meticulous Remote Data Input Specialist specializing in data entry. Your role is to accurately and efficiently input and manage data specific to our company's unique needs, requiring a sharp eye for detail and a focus on data accuracy and efficiency.  Responsibilities  Inputting data into computer systems accurately and efficiently Verifying data accuracy and completeness Updating and maintaining database information Communicating with other departments to gather information Keeping sensitive information confidential Adhering to data privacy and security protocols Supporting other administrative tasks as needed.  Requirements  Proficiency in Microsoft Office and data entry software Strong keyboarding skills Excellent attention to detail and accuracy Ability to work independently and as part of a team Good organizational and time management skills Ability to maintain confidentiality Good verbal and written communication skills Ability to work under pressure and meet deadlines  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment.  This position is entirely remote, offering you the freedom to work from your home or any location that suits you best. We provide a flexible work schedule and a dedicated team to ensure you thrive in this role. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Ander Bedrijfstakken IT-services en consultancy Voordrachten verhogen uw kansen op een sollicitatiegesprek met Bantu Web Design Solutions 2x Bekijken wie u kent"
Data Entry Remote Work (Part-Time/Full-Time),België,https://be.linkedin.com/jobs/view/data-entry-remote-work-part-time-full-time-at-tulsey-town-development-company-llc-3951799243?position=8&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=WR0bTAJcmhUpSsWyGXlTwQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description  We are currently recruiting a Remote Data Entry Assistant to strengthen our data team in the pursuit of accurate record-keeping and efficient data organization. Your responsibilities will include data entry, data cleansing, and ensuring data quality. Proficiency in Excel and a relentless focus on detail are prerequisites for this role. This remote position offers flexible working hours, making it an ideal prospect for individuals seeking a harmonious work-life balance while contributing to our organization's excellence in data management.  Job Description  As a Remote Data Entry Clerk, you will be responsible for accurately and efficiently inputting a variety of data into our systems and databases. Your primary duties will include:  Entering data from various sources into our databases with high accuracy and attention to detail. Ensuring data integrity and consistency by performing regular quality checks. Organizing and maintaining electronic files and documents. Communicating effectively with team members to ensure timely completion of tasks. Following company guidelines and procedures for data entry and management. Assisting with other administrative tasks as needed.  Requirements  Proven experience as a data entry clerk or similar role. Excellent typing skills and proficiency in data entry software and tools. Strong attention to detail and accuracy. Ability to work independently and meet deadlines. Good communication skills, both written and verbal. High school diploma or equivalent; additional certifications in data entry or related fields are a plus. Comfortable working remotely with reliable internet access and a quiet workspace.  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Administratief Bedrijfstakken Vastgoed Voordrachten verhogen uw kansen op een sollicitatiegesprek met Tulsey Town Development Company LLC 2x Bekijken wie u kent"
Remote Data Entry Operator (Part Time Work),België,https://be.linkedin.com/jobs/view/remote-data-entry-operator-part-time-work-at-netmercs-group-3950407486?position=9&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=ceBb1VjUHsvVobN%2FuLu1MQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description  Reliable data entry service is the core mandate at our company. With a focus on accuracy and efficiency, our team optimizes data processes, contributing to the success and growth of businesses. Take this rare opportunity and be a part of our team today.  Responsibilities  Inputting data into computer systems accurately and efficiently Verifying data accuracy and completeness Updating and maintaining database information Communicating with other departments to gather information Keeping sensitive information confidential Adhering to data privacy and security protocols Supporting other administrative tasks as needed.  Requirements  Proficiency in Microsoft Office and data entry software Strong keyboarding skills Excellent attention to detail and accuracy Ability to work independently and as part of a team Good organizational and time management skills Ability to maintain confidentiality Good verbal and written communication skills Ability to work under pressure and meet deadlines  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment.  This position is entirely remote, offering you the freedom to work from your home or any location that suits you best. We provide a flexible work schedule and a dedicated team to ensure you thrive in this role. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Administratief Bedrijfstakken IT-services en consultancy Voordrachten verhogen uw kansen op een sollicitatiegesprek met netMercs Group 2x Bekijken wie u kent"
Data Entry Clerks – Remote Work (Part Time),België,https://be.linkedin.com/jobs/view/data-entry-clerks-%E2%80%93-remote-work-part-time-at-constructive-consultants-3950838328?position=10&pageNum=0&refId=7YH1wlPN0KvO4j7XAlqDWQ%3D%3D&trackingId=MGDoSyebcas4VgfbPCbQag%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description  Our organization stands at the forefront of data management and analysis. As a Remote Data Entry Clerk, you will wield significant influence in maintaining the accuracy and efficiency of our data systems. Our company's core values are rooted in integrity, precision, and an unwavering commitment to delivering results of the highest quality. Join us as we champion the use of data for informed decision-making and strategic insights.  Responsibilities  Inputting data into computer systems accurately and efficiently Verifying data accuracy and completeness Updating and maintaining database information Communicating with other departments to gather information Keeping sensitive information confidential Adhering to data privacy and security protocols Supporting other administrative tasks as needed.  Requirements  Proficiency in Microsoft Office and data entry software Strong keyboarding skills Excellent attention to detail and accuracy Ability to work independently and as part of a team Good organizational and time management skills Ability to maintain confidentiality Good verbal and written communication skills Ability to work under pressure and meet deadlines  Benefits  Flexible remote work schedule. Competitive compensation package. Opportunities for career growth and advancement. Supportive and collaborative work environment.  This position is entirely remote, offering you the freedom to work from your home or any location that suits you best. We provide a flexible work schedule and a dedicated team to ensure you thrive in this role. Show less Senioriteitsniveau Niet van toepassing Soort baan Fulltime Functie Administratief Bedrijfstakken Bedrijfsconsulting en -services Voordrachten verhogen uw kansen op een sollicitatiegesprek met Constructive Consultants 2x Bekijken wie u kent"
